,TARBELA,MANGLA,KALABAGH,CHASMA,QADIRABAD,TRIMMU,PANJNAD,RASUL,MARALA,KHANKI,BALLOKI,SIDHNAI,SULEIMANKI,ISLAM,TAUNSA
TARBELA,-109.8,20.0,22.4,20.8,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
MANGLA,20.0,-114.6,20.0,20.0,20.8,20.8,20.0,22.4,22.4,21.6,20.0,20.0,20.0,20.0,20.0
KALABAGH,22.4,20.0,-106.8,22.4,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.8
CHASMA,20.8,20.0,22.4,-107.2,21.0,21.0,21.0,21.0,20.0,20.0,21.0,21.0,21.0,21.0,22.6
QADIRABAD,20.0,20.8,20.0,21.0,-110.2,22.6,21.0,22.6,21.0,22.8,21.0,21.0,21.0,21.0,21.0
TRIMMU,20.0,20.8,20.0,21.0,22.6,-106.0,22.0,22.6,20.0,20.8,21.0,22.0,21.0,22.0,22.0
PANJNAD,20.0,20.0,20.0,21.0,21.0,22.0,-105.0,21.0,20.0,20.0,21.0,22.0,21.0,22.0,22.0
RASUL,20.0,22.4,20.0,21.0,22.6,22.6,21.0,-107.2,20.0,20.8,21.0,21.0,21.0,21.0,21.0
MARALA,20.0,22.4,20.0,20.0,21.0,20.0,20.0,20.0,-107.2,22.6,20.0,20.0,20.0,20.0,20.0
KHANKI,20.0,21.6,20.0,20.0,22.8,20.8,20.0,20.8,22.6,-107.6,20.0,20.0,20.0,20.0,20.0
BALLOKI,20.0,20.0,20.0,21.0,21.0,21.0,21.0,21.0,20.0,20.0,-103.4,22.2,21.0,21.0,21.0
SIDHNAI,20.0,20.0,20.0,21.0,21.0,22.0,22.0,21.0,20.0,20.0,22.2,-103.0,21.0,22.0,22.0
SULEIMANKI,20.0,20.0,20.0,21.0,21.0,21.0,21.0,21.0,20.0,20.0,21.0,21.0,-103.4,22.2,21.0
ISLAM,20.0,20.0,20.0,21.0,21.0,22.0,22.0,21.0,20.0,20.0,21.0,22.0,22.2,-103.0,22.0
TAUNSA,20.0,20.0,20.8,22.6,21.0,22.0,22.0,21.0,20.0,20.0,21.0,22.0,21.0,22.0,-106.0
